,regex,input string length,matching position ratio,sample index,Method,Mode,data points,Unit,confidence interval (99.9%),min,max,mean,std,duration,finish time
133,http,32768,0.95,5,stringContains,avgt,100,ns/op,1.302638,4610.526,4631.453,4620.312309999999,3.840850754597411,0 days 00:04:12,2021-04-06 02:12:40.792094
134,http,512,0.95,12,regexMatches,avgt,100,ns/op,11.865396,244.446,324.667,275.12329,34.98542462407983,0 days 00:04:12,2021-04-06 03:05:18.183363
135,http,512,0.95,12,stringContains,avgt,100,ns/op,1.7938,76.709,90.576,79.69911,5.289057816259656,0 days 00:04:12,2021-04-06 03:05:18.183363
136,http,4096,0.95,3,regexMatches,avgt,100,ns/op,51.913357,1810.517,2194.862,1957.4344199999998,153.06771996570205,0 days 00:04:12,2021-04-06 04:50:33.317772
137,http,4096,0.95,3,stringContains,avgt,100,ns/op,0.525426,569.211,573.764,571.81297,1.5492448108479768,0 days 00:04:12,2021-04-06 04:50:33.317772
138,http,64,0.95,1,regexMatches,avgt,100,ns/op,2.750979,122.894,146.949,134.7385,8.111323377809192,0 days 00:04:12,2021-04-06 01:46:22.030459
139,http,64,0.95,1,stringContains,avgt,100,ns/op,0.115635,16.473,17.481,16.76398,0.3409177447521155,0 days 00:04:12,2021-04-06 01:46:22.030459
140,http,256,0.95,12,regexMatches,avgt,100,ns/op,2.250315,170.98,192.471,175.79480999999998,6.635101932178889,0 days 00:04:12,2021-04-06 02:03:54.578218
141,http,256,0.95,12,stringContains,avgt,100,ns/op,0.096026,43.271,44.124,43.508100000000006,0.2831288923740736,0 days 00:04:12,2021-04-06 02:03:54.578218
142,http,4096,0.95,1,regexMatches,avgt,100,ns/op,62.632209,1666.089,2188.759,1782.54005,184.6725290187726,0 days 00:04:12,2021-04-06 07:24:02.414567
143,http,4096,0.95,1,stringContains,avgt,100,ns/op,2.224848,589.219,604.824,595.95596,6.560035085395215,0 days 00:04:12,2021-04-06 07:24:02.414567
144,http,512,0.95,2,regexMatches,avgt,100,ns/op,0.901156,296.749,307.558,299.21935,2.65706143743859,0 days 00:04:12,2021-04-05 23:52:20.778094
145,http,512,0.95,2,stringContains,avgt,100,ns/op,3.537429,78.081,105.415,83.85541,10.430200777767677,0 days 00:04:12,2021-04-05 23:52:20.778094
146,http,32768,0.95,6,regexMatches,avgt,100,ns/op,585.848101,10090.155,14566.449,13595.08476,1727.3864677245858,0 days 00:04:12,2021-04-06 01:41:58.937521
147,http,32768,0.95,6,stringContains,avgt,100,ns/op,1.320494,4606.859,4625.363,4615.9367,3.8935238758375648,0 days 00:04:12,2021-04-06 01:41:58.937521
148,http,1024,0.95,8,regexMatches,avgt,100,ns/op,21.695377,490.586,668.704,525.88894,63.96928350827466,0 days 00:04:12,2021-04-06 04:33:00.634024
149,http,1024,0.95,8,stringContains,avgt,100,ns/op,3.114286,143.711,167.307,148.90269,9.182503577643427,0 days 00:04:12,2021-04-06 04:33:00.634024
150,http,128,0.95,8,regexMatches,avgt,100,ns/op,3.700927,144.237,182.194,158.91703,10.912254106551938,0 days 00:04:12,2021-04-06 01:37:35.852583
151,http,128,0.95,8,stringContains,avgt,100,ns/op,0.136122,25.364,26.458,25.61998,0.40138786954538364,0 days 00:04:12,2021-04-06 01:37:35.852583
152,http,64,0.95,5,regexMatches,avgt,100,ns/op,2.564544,123.338,144.332,134.08585000000002,7.561652297092298,0 days 00:04:12,2021-04-06 01:24:26.429765
153,http,64,0.95,5,stringContains,avgt,100,ns/op,0.101059,16.539,17.397,16.782899999999998,0.29795106709632446,0 days 00:04:12,2021-04-06 01:24:26.429765
154,http,2048,0.95,6,regexMatches,avgt,100,ns/op,25.122816,899.198,1166.883,943.5420200000001,74.07519270363328,0 days 00:04:12,2021-04-06 07:02:06.865886
155,http,2048,0.95,6,stringContains,avgt,100,ns/op,2.198651,284.385,301.277,287.92625999999996,6.482763660599692,0 days 00:04:12,2021-04-06 07:02:06.865886
156,http,256,0.95,7,regexMatches,avgt,100,ns/op,4.716968,176.425,220.005,203.28313999999997,13.908087166345583,0 days 00:04:12,2021-04-06 10:19:27.648049
157,http,256,0.95,7,stringContains,avgt,100,ns/op,0.163605,44.628,45.908,45.048809999999996,0.4824012893218613,0 days 00:04:12,2021-04-06 10:19:27.648049
158,http,256,0.95,4,regexMatches,avgt,100,ns/op,0.534044,175.645,182.92,177.86842999999996,1.574660099638629,0 days 00:04:12,2021-04-06 05:30:01.582208
159,http,256,0.95,4,stringContains,avgt,100,ns/op,0.14037,43.283,44.497,43.61165000000001,0.41385173685875754,0 days 00:04:12,2021-04-06 05:30:01.582208
160,http,65536,0.95,14,regexMatches,avgt,100,ns/op,172.024584,23733.663,25393.223,24774.15769,507.2184022324967,0 days 00:04:12,2021-04-06 04:11:04.957347
161,http,65536,0.95,14,stringContains,avgt,100,ns/op,8.849176,9312.95,9409.167,9357.689729999998,26.091993148506635,0 days 00:04:12,2021-04-06 04:11:04.957347
162,http,65536,0.95,7,regexMatches,avgt,100,ns/op,24.334484,24993.156,25363.156,25070.18443,71.75077258110139,0 days 00:04:12,2021-04-05 23:43:34.524226
